"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
15,8;15,8;1;1;2;1;0;0;-18788,6001256023;-3,10588002204895;
15,85;15,85;1;1;2;1;0;0;-18788,6001256023;-3,10501873493195;
15,9;15,9;1;1;2;1;0;0;-18788,6001256023;-3,10424149036407;
15,95;15,95;1;1;2;1;0;0;-18788,6001256023;-3,10370057821274;
16;16;1;1;2;1;0;0;-18788,6001256023;-3,1032332777977;
16,05;16,05;1;1;2;1;0;0;-18788,6001256023;-3,10251235961914;
16,1;16,1;1;1;2;1;0;0;-18788,6001256023;-3,10158461332321;
16,15;16,15;1;1;2;1;0;0;-18788,6001256023;-3,10110628604889;
16,2;16,2;1;1;2;1;0;0;-18788,6001256023;-3,100426197052;
16,25;16,25;1;1;2;1;0;0;-18788,6001256023;-3,09989362955093;
16,3;16,3;1;1;2;1;0;0;-18788,6001256023;-3,09895306825638;
16,35;16,35;1;1;2;1;0;0;-18788,6001256023;-3,09870451688766;
16,4;16,4;1;1;2;1;0;0;-18788,4284642294;-3,09804052114487;
16,45;16,45;1;1;2;1;0;0;-18787,981429404;-3,09708654880524;
16,5;16,5;1;1;2;1;0;0;-18787,5361827179;-3,09669345617294;
16,55;16,55;1;1;2;1;0;0;-18787,0891478925;-3,09632152318954;
16,6;16,6;1;1;2;1;0;0;-18786,6421130671;-3,09569597244263;
16,65;16,65;1;1;2;1;0;0;-18786,196866381;-3,09493005275726;
16,7;16,7;1;1;2;1;0;0;-18785,7498315557;-3,09431046247482;
16,75;16,75;1;1;2;1;0;0;-18785,3045848696;-3,09405416250229;
16,8;16,8;1;1;2;1;0;0;-18785,111465825;-3,09340238571167;
16,85;16,85;1;1;2;1;0;0;-18785,111465825;-3,09275984764099;
16,9;16,9;1;1;2;1;0;0;-18785,111465825;-3,09214562177658;
16,95;16,95;1;1;2;1;0;0;-18785,111465825;-3,09153348207474;
