"Temps total (s)";"Temps de cycle écoulé (s)";"Nombre total de cycles";"Cycles écoulés";"Etape";"Boucle 1";"Nombre total de cycles(Forme d'onde Linear)";"Nombre total de cycles(Forme d'onde Rotary)";"Pos (µm)";"Effort_5N (N)";
12,75;12,75;1;1;1;1;0;0;-14921,8454455477;-0,571557506918907;
12,8;12,8;1;1;1;1;0;0;-14922,1503232986;-0,574528910219669;
12,85;12,85;1;1;1;1;0;0;-14922,5964640543;-0,577535070478916;
12,9;12,9;1;1;1;1;0;0;-14923,0434988797;-0,579983927309513;
12,95;12,95;1;1;1;1;0;0;-14923,4896396354;-0,582311376929283;
13;13;1;1;1;1;0;0;-14923,9357803912;-0,584220215678215;
13,05;13,05;1;1;1;1;0;0;-14924,3819211469;-0,586523041129112;
13,1;13,1;1;1;1;1;0;0;-14924,8280619026;-0,58905154466629;
13,15;13,15;1;1;1;1;0;0;-14925,275096728;-0,592050403356552;
13,2;13,2;1;1;1;1;0;0;-14925,7212374837;-0,594784170389175;
13,25;13,25;1;1;1;1;0;0;-14926,1673782395;-0,597094558179379;
13,3;13,3;1;1;1;1;0;0;-14926,6135189952;-0,598902441561222;
13,35;13,35;1;1;1;1;0;0;-14926,8120024577;-0,600947551429272;
13,4;13,4;1;1;1;1;0;0;-14926,8120024577;-0,603605397045612;
13,45;13,45;1;1;1;1;0;0;-14926,8120024577;-0,606627613306046;
13,5;13,5;1;1;1;1;0;0;-14926,8120024577;-0,609037950634956;
13,55;13,55;1;1;1;1;0;0;-14926,8120024577;-0,611954443156719;
13,6;13,6;1;1;1;1;0;0;-14926,8120024577;-0,61454776674509;
13,65;13,65;1;1;1;1;0;0;-14926,8584940795;-0,617197938263416;
13,7;13,7;1;1;1;1;0;0;-14927,3046348353;-0,61958946287632;
13,75;13,75;1;1;1;1;0;0;-14927,750775591;-0,622068084776402;
13,8;13,8;1;1;1;1;0;0;-14928,1969163467;-0,62423974275589;
